ID,Tower company,Structure Type,Radio frequency ,Birds affected,Death Rate(in %),Location,Total Towers(Present),Total Towers(before 5 years)
22078,Lyca Mobile,MTower,754,Sparrow,42,Boston,670,217
22079,T-Mobile,GTower,740,Spotted Dove,77,Lansing,209,217
22080,AT&T,LTower,304,Bulbul,43,St. Paul,671,224
22081,AT&T,MTower,554,Kite,58,Jackson,146,173
22082,Mint Mobile,GTower,641,Sparrow,65,Jefferson City,281,142
22083,Lyca Mobile,LTower,442,Spotted Dove,25,Helena,266,110
22084,Verizon,GTower,833,Kite,34,Lincoln,400,181
22085,T-Mobile,LTower,712,Bulbul,29,Carson City,633,77
22086,Lyca Mobile,MTower,631,Sparrow,44,Concord,690,208
22087,AT&T,LTower,417,Bulbul,35,Trenton,107,90
22088,Mint Mobile,GTower,661,Kite,60,Santa Fe,738,211
22089,Verizon,GTower,350,Spotted Dove,34,Albany,661,164
22090,Lyca Mobile,MTower,340,Sparrow,78,Raleigh,269,146
22091,T-Mobile,LTower,659,Sparrow,69,Bismarck,339,253
22092,AT&T,MTower,461,Bulbul,46,Columbus,623,124
22093,AT&T,GTower,799,Kite,48,Oklahoma City,840,152
22094,Mint Mobile,LTower,356,Bulbul,69,Salem,648,93
22095,Lyca Mobile,MTower,789,Sparrow,29,Harrisburg,626,289
22096,Verizon,GTower,871,Spotted Dove,23,Providence,770,276
22097,T-Mobile,LTower,882,Kite,79,Columbia,758,263
22098,Lyca Mobile,GTower,331,Bulbul,60,Pierre,305,182
22099,AT&T,LTower,581,Sparrow,27,Nashville,636,268
22100,Mint Mobile,MTower,425,Spotted Dove,57,Austin,265,103
22101,Verizon,LTower,783,Bulbul,54,Salt Lake City,771,237
22102,Lyca Mobile,GTower,310,Kite,70,Montpelier,647,82
22103,T-Mobile,GTower,596,Sparrow,78,Richmond,870,196
22104,AT&T,MTower,769,Spotted Dove,55,Olympia,388,269
22105,AT&T,LTower,437,Kite,47,Charleston,690,114
22106,Mint Mobile,MTower,520,Bulbul,21,Madison,890,166
22107,Lyca Mobile,GTower,331,Sparrow,77,Cheyenne,857,254
22108,Verizon,LTower,691,Bulbul,57,Alabama,234,276
22109,T-Mobile,MTower,454,Kite,64,Alaska,750,157
22110,Lyca Mobile,GTower,800,Spotted Dove,28,Arizona,232,166
22111,AT&T,LTower,739,Sparrow,33,Arkansas,731,221
22112,Mint Mobile,GTower,404,Sparrow,40,California,865,112
22113,Verizon,LTower,748,Bulbul,44,Colorado,294,261
22114,Lyca Mobile,MTower,698,Kite,63,Connecticut,642,144
22115,T-Mobile,LTower,359,Bulbul,28,Delaware,440,97
22116,AT&T,GTower,838,Sparrow,44,Florida,263,176
22117,AT&T,GTower,457,Spotted Dove,52,Georgia,289,145
22118,Mint Mobile,MTower,314,Kite,43,Hawaii,328,214
22119,Lyca Mobile,LTower,647,Bulbul,43,Idaho,563,192
22120,Verizon,MTower,300,Sparrow,69,Illinois,294,55
22121,T-Mobile,GTower,473,Spotted Dove,72,Indiana,286,148
22122,Lyca Mobile,LTower,362,Bulbul,36,Iowa,510,179
22123,AT&T,MTower,564,Kite,78,Kansas,618,194
22124,Mint Mobile,GTower,585,Sparrow,69,Kentucky,862,290
22125,Verizon,LTower,784,Spotted Dove,54,Louisiana,875,299
22126,Lyca Mobile,GTower,312,Kite,72,Maine,247,152
22127,T-Mobile,LTower,736,Bulbul,69,Maryland,274,164
22128,AT&T,MTower,325,Sparrow,25,Massachusetts,828,294
22129,AT&T,LTower,873,Bulbul,80,Michigan,630,136
22130,Mint Mobile,GTower,557,Kite,24,Minnesota,813,229
22131,Lyca Mobile,GTower,870,Spotted Dove,58,Mississippi,540,86
22132,Verizon,MTower,404,Sparrow,76,Missouri,199,238
22133,T-Mobile,LTower,769,Sparrow,38,Montana,489,62
22134,Lyca Mobile,MTower,848,Bulbul,62,Nebraska,136,127
22135,AT&T,GTower,527,Kite,39,Nevada,134,133
22136,Mint Mobile,LTower,576,Bulbul,48,New Hampshire,394,249
22137,Verizon,MTower,626,Sparrow,39,New Jersey,206,300
22138,Lyca Mobile,GTower,318,Spotted Dove,62,New Mexico,117,116
22139,T-Mobile,LTower,892,Kite,33,New York,818,103
22140,AT&T,GTower,634,Bulbul,63,North Carolina,394,206
22141,AT&T,LTower,336,Sparrow,22,North Dakota,261,240
22142,Mint Mobile,MTower,502,Spotted Dove,51,Ohio,570,90
22143,Lyca Mobile,LTower,557,Bulbul,40,Oklahoma,512,250
22144,Verizon,GTower,739,Kite,75,Vermont,170,171
22145,T-Mobile,GTower,840,Sparrow,39,Virginia,889,181
22146,Lyca Mobile,MTower,406,Spotted Dove,31,Washington,433,153
22147,AT&T,LTower,544,Kite,29,West Virginia,814,277
22148,Mint Mobile,MTower,797,Bulbul,25,Wisconsin,486,200
22149,Verizon,GTower,456,Sparrow,58,Wyoming,751,235
22150,Lyca Mobile,LTower,430,Bulbul,39,Montgomery,222,190
22151,T-Mobile,MTower,488,Kite,56,Juneau,833,124
22152,AT&T,GTower,302,Spotted Dove,21,Phoenix,302,62
22153,AT&T,LTower,595,Sparrow,70,Little Rock,783,186
22154,Mint Mobile,GTower,658,Sparrow,47,Sacramento,836,72
22155,Lyca Mobile,LTower,482,Bulbul,40,Denver,601,206
22156,Verizon,MTower,805,Kite,68,Hartford,726,196
22157,T-Mobile,LTower,651,Bulbul,69,Dover,340,54
22158,Lyca Mobile,GTower,528,Sparrow,62,Tallahassee,719,195
22159,AT&T,GTower,371,Spotted Dove,23,Atlanta,306,52
22160,Mint Mobile,MTower,497,Kite,28,Honolulu,884,208
22161,Verizon,LTower,794,Bulbul,74,Boise,660,159
22162,Lyca Mobile,MTower,733,Sparrow,71,Springfield,734,260
22163,T-Mobile,GTower,310,Spotted Dove,68,Indianapolis,460,207
22164,AT&T,LTower,462,Bulbul,48,Des Moines,780,253
22165,AT&T,MTower,489,Kite,60,Topeka,682,61
22166,Mint Mobile,GTower,608,Sparrow,30,Frankfort,383,184
22167,Lyca Mobile,LTower,558,Spotted Dove,73,Baton Rouge,337,74
22168,Verizon,GTower,800,Kite,50,Augusta,785,181
22169,T-Mobile,LTower,760,Bulbul,80,Annapolis,703,118
22170,Lyca Mobile,MTower,394,Sparrow,63,Boston,896,111
22171,AT&T,LTower,709,Bulbul,48,Lansing,438,186
22172,Mint Mobile,GTower,500,Kite,35,St. Paul,720,113
22173,Verizon,GTower,322,Spotted Dove,36,Jackson,332,131
22174,Lyca Mobile,MTower,624,Sparrow,41,Jefferson City,415,80
22175,T-Mobile,LTower,499,Sparrow,56,Helena,660,109
22176,AT&T,MTower,317,Bulbul,71,Lincoln,109,252
22177,AT&T,GTower,437,Kite,33,Carson City,146,135
22178,Mint Mobile,LTower,882,Bulbul,64,Concord,844,211
22179,Lyca Mobile,MTower,535,Sparrow,69,Trenton,617,54
22180,Verizon,GTower,404,Spotted Dove,80,Santa Fe,168,70
22181,T-Mobile,LTower,317,Kite,27,Albany,195,87
22182,Lyca Mobile,GTower,478,Bulbul,41,Raleigh,759,98
22183,AT&T,LTower,393,Sparrow,42,Bismarck,217,177
22184,Mint Mobile,MTower,426,Spotted Dove,51,Columbus,886,189
22185,Verizon,LTower,325,Bulbul,24,Oklahoma City,245,146
22186,Lyca Mobile,GTower,669,Kite,75,Salem,476,223
22187,T-Mobile,GTower,419,Sparrow,79,Harrisburg,373,96
22188,AT&T,MTower,692,Spotted Dove,22,Providence,231,71
22189,AT&T,LTower,876,Kite,77,Columbia,446,219
22190,Mint Mobile,MTower,625,Bulbul,45,Pierre,616,80
22191,Lyca Mobile,GTower,457,Sparrow,38,Nashville,730,225
22192,Verizon,LTower,626,Bulbul,27,Austin,459,264
22193,T-Mobile,MTower,789,Kite,23,Salt Lake City,523,100
22194,Lyca Mobile,GTower,866,Spotted Dove,47,Montpelier,807,141
22195,AT&T,LTower,897,Sparrow,52,Richmond,749,215
22196,Mint Mobile,GTower,793,Sparrow,73,Olympia,420,153
22197,Verizon,LTower,382,Bulbul,69,Charleston,405,216
22198,Lyca Mobile,MTower,873,Kite,25,Madison,523,158
22199,T-Mobile,LTower,727,Bulbul,55,Cheyenne,606,257
22200,AT&T,GTower,650,Sparrow,22,Alabama,205,256
22201,AT&T,GTower,752,Spotted Dove,80,Alaska,837,299
22202,Mint Mobile,MTower,641,Kite,56,Arizona,398,221
22203,Lyca Mobile,LTower,421,Bulbul,55,Arkansas,867,135
22204,Verizon,MTower,851,Sparrow,74,California,762,68
22205,T-Mobile,GTower,582,Spotted Dove,21,Colorado,142,239
22206,Lyca Mobile,LTower,730,Bulbul,33,Connecticut,244,216
22207,AT&T,MTower,669,Kite,33,Delaware,803,255
22208,Mint Mobile,GTower,484,Sparrow,68,Florida,546,69
22209,Verizon,LTower,386,Spotted Dove,31,Georgia,528,170
22210,Lyca Mobile,GTower,744,Kite,72,Hawaii,874,111
22211,T-Mobile,LTower,751,Bulbul,46,Idaho,616,114
22212,AT&T,MTower,863,Sparrow,69,Illinois,701,212
22213,AT&T,LTower,362,Bulbul,40,Indiana,315,248
22214,Mint Mobile,GTower,331,Kite,22,Iowa,313,204
22215,Lyca Mobile,GTower,363,Spotted Dove,49,Kansas,710,124
22216,Verizon,MTower,661,Sparrow,47,Kentucky,216,145
22217,T-Mobile,LTower,550,Sparrow,67,Louisiana,871,109
22218,Lyca Mobile,MTower,664,Bulbul,56,Maine,261,73
22219,AT&T,GTower,637,Kite,32,Maryland,244,103
22220,Mint Mobile,LTower,846,Bulbul,20,Massachusetts,854,284
22221,Verizon,MTower,574,Sparrow,50,Michigan,255,164
22222,Lyca Mobile,GTower,684,Spotted Dove,72,Minnesota,434,294
22223,T-Mobile,LTower,705,Kite,76,Mississippi,326,164
22224,AT&T,GTower,303,Bulbul,58,Missouri,702,217
22225,AT&T,LTower,759,Sparrow,23,Montana,400,209
22226,Mint Mobile,MTower,600,Spotted Dove,41,Nebraska,197,158
22227,Lyca Mobile,LTower,792,Bulbul,62,Nevada,719,266
22228,Verizon,GTower,483,Kite,23,New Hampshire,201,176
22229,T-Mobile,GTower,842,Sparrow,60,New Jersey,466,215
22230,Lyca Mobile,MTower,402,Spotted Dove,39,New Mexico,129,126
22231,AT&T,LTower,576,Kite,71,New York,876,179
22232,Mint Mobile,MTower,688,Bulbul,70,North Carolina,381,193
22233,Verizon,GTower,587,Sparrow,31,North Dakota,894,261
22234,Lyca Mobile,LTower,634,Bulbul,52,Ohio,252,65
22235,T-Mobile,MTower,702,Kite,31,Oklahoma,640,264
22236,AT&T,GTower,414,Spotted Dove,71,Oregon,369,155
22237,AT&T,LTower,339,Sparrow,77,Pennsylvania,510,174
22238,Mint Mobile,GTower,710,Sparrow,47,Rhode Island,868,264
22239,Lyca Mobile,LTower,872,Bulbul,56,South Carolina,789,295
22240,Verizon,MTower,771,Kite,78,South Dakota,303,183
22241,T-Mobile,LTower,492,Bulbul,78,Tennessee,144,50
22242,Lyca Mobile,GTower,492,Sparrow,63,Texas,513,228
22243,AT&T,GTower,691,Spotted Dove,31,Utah,526,213
22244,Mint Mobile,MTower,881,Kite,26,Vermont,418,256
22245,Verizon,LTower,469,Bulbul,40,Virginia,102,263
22246,Lyca Mobile,MTower,616,Sparrow,27,Washington,540,138
22247,T-Mobile,GTower,677,Spotted Dove,74,West Virginia,433,294
22248,AT&T,LTower,325,Bulbul,56,Wisconsin,517,257
22249,AT&T,MTower,545,Kite,75,Wyoming,116,100
22250,Mint Mobile,GTower,606,Sparrow,61,Montgomery,344,271
22251,Lyca Mobile,LTower,748,Spotted Dove,77,Juneau,346,221
22252,Verizon,GTower,422,Kite,31,Phoenix,497,274
22253,T-Mobile,LTower,785,Bulbul,70,Little Rock,133,128
22254,Lyca Mobile,MTower,578,Sparrow,49,Sacramento,220,165
22255,AT&T,LTower,354,Bulbul,58,Denver,359,254
22256,Mint Mobile,GTower,698,Kite,43,Hartford,204,127
22257,Verizon,GTower,400,Spotted Dove,77,Dover,735,141
22258,Lyca Mobile,MTower,687,Sparrow,34,Tallahassee,882,112
22259,T-Mobile,LTower,455,Sparrow,29,Atlanta,884,290
22260,AT&T,MTower,421,Bulbul,68,Honolulu,302,230
22261,AT&T,GTower,340,Kite,36,Boise,356,72
22262,Mint Mobile,LTower,693,Bulbul,35,Springfield,332,280
22263,Lyca Mobile,MTower,622,Sparrow,31,Indianapolis,821,194
22264,Verizon,GTower,531,Spotted Dove,22,Des Moines,355,133
22265,T-Mobile,LTower,381,Kite,72,Topeka,106,179
22266,Lyca Mobile,GTower,640,Bulbul,25,Frankfort,355,274
22267,AT&T,LTower,324,Sparrow,80,Baton Rouge,496,63
22268,Mint Mobile,MTower,489,Spotted Dove,43,Augusta,844,208
22269,Verizon,LTower,393,Bulbul,38,Annapolis,626,111
22270,Lyca Mobile,GTower,526,Kite,72,Boston,292,72
22271,T-Mobile,GTower,598,Sparrow,80,Lansing,618,223
22272,AT&T,MTower,419,Spotted Dove,29,St. Paul,859,149
22273,AT&T,LTower,364,Kite,28,Jackson,176,207
22274,Mint Mobile,MTower,437,Bulbul,49,Jefferson City,805,200
22275,Lyca Mobile,GTower,540,Sparrow,41,Helena,100,179
22276,Verizon,LTower,530,Bulbul,61,Lincoln,228,241
22277,T-Mobile,MTower,622,Kite,72,Carson City,804,248
22278,Lyca Mobile,GTower,533,Spotted Dove,27,Concord,340,55
22279,AT&T,LTower,312,Sparrow,73,Trenton,396,204
22280,Mint Mobile,GTower,403,Sparrow,55,Santa Fe,802,107
22281,Verizon,LTower,450,Bulbul,61,Albany,422,117
22282,Lyca Mobile,MTower,321,Kite,71,Raleigh,334,279
22283,T-Mobile,LTower,892,Bulbul,39,Bismarck,330,192
22284,AT&T,GTower,696,Sparrow,27,Columbus,113,96
22285,AT&T,GTower,610,Spotted Dove,78,Oklahoma City,415,136
22286,Mint Mobile,MTower,709,Kite,61,Salem,330,57
22287,Lyca Mobile,LTower,391,Bulbul,22,Harrisburg,437,64
22288,Verizon,MTower,592,Sparrow,46,Providence,213,106
22289,T-Mobile,GTower,500,Spotted Dove,55,Columbia,760,132
22290,Lyca Mobile,LTower,665,Bulbul,53,Pierre,545,159
22291,AT&T,MTower,322,Kite,29,Nashville,847,155
22292,Mint Mobile,GTower,753,Sparrow,63,Austin,166,59
22293,Verizon,LTower,632,Spotted Dove,58,Salt Lake City,317,297
22294,Lyca Mobile,GTower,857,Kite,65,Montpelier,169,96
22295,T-Mobile,LTower,889,Bulbul,33,Richmond,598,186
22296,AT&T,MTower,598,Sparrow,21,Olympia,808,201
22297,AT&T,LTower,679,Bulbul,57,Charleston,185,239
22298,Mint Mobile,GTower,314,Kite,57,Madison,851,124
22299,Lyca Mobile,GTower,696,Spotted Dove,56,Cheyenne,672,163
22300,Verizon,MTower,596,Sparrow,78,Alabama,106,214
22301,T-Mobile,LTower,495,Sparrow,71,Alaska,344,99
22302,Lyca Mobile,MTower,468,Bulbul,29,Arizona,891,210
22303,AT&T,GTower,810,Kite,58,Arkansas,418,286
22304,Mint Mobile,LTower,602,Bulbul,67,California,692,129
22305,Verizon,MTower,795,Sparrow,73,Colorado,194,93
22306,Lyca Mobile,GTower,763,Spotted Dove,30,Connecticut,392,160
22307,T-Mobile,LTower,848,Kite,43,Delaware,823,281
22308,AT&T,GTower,723,Bulbul,70,Florida,725,211
22309,AT&T,LTower,741,Sparrow,26,Georgia,268,173
22310,Mint Mobile,MTower,349,Spotted Dove,44,Hawaii,384,211
22311,Lyca Mobile,LTower,490,Bulbul,36,Idaho,879,255
22312,Verizon,GTower,824,Kite,68,Illinois,284,146
22313,T-Mobile,GTower,675,Sparrow,78,Indiana,302,142
22314,Lyca Mobile,MTower,850,Spotted Dove,23,Iowa,522,257
22315,AT&T,LTower,421,Kite,63,Kansas,113,215
22316,Mint Mobile,MTower,891,Bulbul,56,Kentucky,167,141
22317,Verizon,GTower,348,Sparrow,54,Louisiana,262,229
22318,Lyca Mobile,LTower,443,Bulbul,79,Maine,620,172
22319,T-Mobile,MTower,811,Kite,72,Maryland,565,107
22320,AT&T,GTower,714,Spotted Dove,24,Massachusetts,264,190
22321,AT&T,LTower,468,Sparrow,60,Michigan,448,111
22322,Mint Mobile,GTower,315,Sparrow,75,Minnesota,197,161
22323,Lyca Mobile,LTower,356,Bulbul,69,Mississippi,845,60
22324,Verizon,MTower,768,Kite,73,Missouri,635,84
22325,T-Mobile,LTower,558,Bulbul,42,Montana,834,100
22326,Lyca Mobile,GTower,781,Sparrow,33,Nebraska,713,271
22327,AT&T,GTower,625,Spotted Dove,28,Nevada,389,102
22328,Mint Mobile,MTower,451,Kite,66,New Hampshire,271,233
22329,Verizon,LTower,579,Bulbul,20,New Jersey,395,89
22330,Lyca Mobile,MTower,727,Sparrow,30,New Mexico,259,226
22331,T-Mobile,GTower,617,Spotted Dove,74,New York,392,56
22332,AT&T,LTower,506,Bulbul,40,North Carolina,369,213
22333,AT&T,MTower,589,Kite,47,North Dakota,297,108
22334,Mint Mobile,GTower,750,Sparrow,60,Ohio,404,270
22335,Lyca Mobile,LTower,449,Spotted Dove,24,Oklahoma,870,181
22336,Verizon,GTower,507,Kite,75,Vermont,778,278
22337,T-Mobile,LTower,613,Bulbul,70,Virginia,109,145
22338,Lyca Mobile,MTower,649,Sparrow,53,Washington,761,229
22339,AT&T,LTower,667,Bulbul,43,West Virginia,165,218
22340,Mint Mobile,GTower,848,Kite,58,Wisconsin,573,275
22341,Verizon,GTower,601,Spotted Dove,63,Wyoming,135,229
22342,Lyca Mobile,MTower,443,Sparrow,64,Montgomery,385,265
22343,T-Mobile,LTower,460,Sparrow,64,Juneau,139,132
22344,AT&T,MTower,743,Bulbul,35,Phoenix,781,91
22345,AT&T,GTower,534,Kite,37,Little Rock,876,277
22346,Mint Mobile,LTower,368,Bulbul,63,Sacramento,790,177
22347,Lyca Mobile,MTower,665,Sparrow,79,Denver,563,199
22348,Verizon,GTower,357,Spotted Dove,32,Hartford,136,242
22349,T-Mobile,LTower,431,Kite,44,Dover,644,151
22350,Lyca Mobile,GTower,837,Bulbul,30,Tallahassee,281,170
22351,AT&T,LTower,440,Sparrow,71,Atlanta,145,190
22352,Mint Mobile,MTower,588,Spotted Dove,55,Honolulu,260,298
22353,Verizon,LTower,827,Bulbul,38,Boise,723,176
22354,Lyca Mobile,GTower,834,Kite,66,Springfield,505,279
22355,T-Mobile,GTower,433,Sparrow,76,Indianapolis,502,200
22356,AT&T,MTower,712,Spotted Dove,70,Des Moines,324,100
22357,AT&T,LTower,860,Kite,42,Topeka,308,160
22358,Mint Mobile,MTower,415,Bulbul,75,Frankfort,585,202
22359,Lyca Mobile,GTower,845,Sparrow,46,Baton Rouge,777,190
22360,Verizon,LTower,480,Bulbul,26,Augusta,673,224
22361,T-Mobile,MTower,431,Kite,75,Annapolis,504,115
22362,Lyca Mobile,GTower,682,Spotted Dove,63,Boston,404,128
22363,AT&T,LTower,470,Sparrow,63,Lansing,218,200
22364,Mint Mobile,GTower,469,Sparrow,43,St. Paul,599,129
22365,Verizon,LTower,612,Bulbul,28,Jackson,434,203
22366,Lyca Mobile,MTower,338,Kite,37,Jefferson City,131,167
22367,T-Mobile,LTower,762,Bulbul,66,Helena,898,64
22368,AT&T,GTower,472,Sparrow,47,Lincoln,521,160
22369,AT&T,GTower,396,Spotted Dove,47,Carson City,888,120
22370,Mint Mobile,MTower,460,Kite,63,Concord,670,75
22371,Lyca Mobile,LTower,386,Bulbul,32,Trenton,600,130
22372,Verizon,MTower,820,Sparrow,42,Santa Fe,727,133
22373,T-Mobile,GTower,717,Spotted Dove,34,Albany,646,213
22374,Lyca Mobile,LTower,638,Bulbul,61,Raleigh,113,242
22375,AT&T,MTower,531,Kite,23,Bismarck,756,111
22376,Mint Mobile,GTower,870,Sparrow,69,Columbus,235,116
22377,Verizon,LTower,566,Spotted Dove,79,Oklahoma City,338,134
22378,Lyca Mobile,GTower,824,Kite,63,Salem,213,255
22379,T-Mobile,LTower,531,Bulbul,27,Harrisburg,557,104
22380,AT&T,MTower,618,Sparrow,56,Providence,172,158
22381,AT&T,LTower,686,Bulbul,66,Columbia,391,95
22382,Mint Mobile,GTower,881,Kite,30,Pierre,886,146
22383,Lyca Mobile,GTower,388,Spotted Dove,40,Nashville,232,280
22384,Verizon,MTower,468,Sparrow,43,Austin,338,154
22385,T-Mobile,LTower,758,Sparrow,37,Salt Lake City,429,284
22386,Lyca Mobile,MTower,835,Bulbul,73,Montpelier,637,115
22387,AT&T,GTower,350,Kite,49,Richmond,319,175
22388,Mint Mobile,LTower,709,Bulbul,21,Olympia,218,203
22389,Verizon,MTower,803,Sparrow,63,Charleston,201,200
22390,Lyca Mobile,GTower,786,Spotted Dove,64,Madison,731,216
22391,T-Mobile,LTower,431,Kite,30,Cheyenne,874,123
22392,AT&T,GTower,752,Bulbul,78,Alabama,570,160
22393,AT&T,LTower,738,Sparrow,46,Alaska,210,222
22394,Mint Mobile,MTower,605,Spotted Dove,34,Arizona,722,294
22395,Lyca Mobile,LTower,646,Bulbul,38,Arkansas,745,92
22396,Verizon,GTower,591,Kite,42,California,113,236
22397,T-Mobile,GTower,803,Sparrow,47,Colorado,496,219
22398,Lyca Mobile,MTower,475,Spotted Dove,45,Connecticut,447,79
22399,AT&T,LTower,888,Kite,48,Delaware,876,150
22400,Mint Mobile,MTower,521,Bulbul,42,Florida,682,145
